Coach,NFL,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2020school,logopath
Mike Haywood,0,0,0,0,0,0,0,0,0,0,0,138.32,129.69,0,0,0,0,0,0,0,0,0,#N/A,
Mike Houston,0,163.06,158.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Carolina,
Mike Jinks,0,0,0,144.03,138.14,111.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Mike Kruczek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,156.61,0,0,#N/A,
Mike Leach,0,220.24,174.14,194.84,186.45,169.74,188.41,176.62,177.9,173.37,0,0,206.43,131.78,170.43,192.05,172.32,157.29,108.77,173.15,0,0,Mississippi State,
Mike Locksley,0,209.67,192.18,0,0,0,0,0,0,0,0,157.08,95.54,0,0,0,0,0,0,0,0,0,Maryland,
Mike London,0,0,0,0,0,0,179.92,205.34,201.88,223.88,220.78,170.27,0,0,0,0,0,0,0,0,0,0,#N/A,
Mike MacIntyre,0,0,0,187.11,203.78,160.42,162.04,147.9,151.29,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Mike Neu,0,131.5,122.89,115.57,128.8,110.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ball State,
Mike Norvell,0,238.41,172.4,157.28,177.6,165.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida State,
Mike Price,0,0,0,0,0,0,0,0,0,102.75,35.04,150.87,0,0,0,120.39,112.64,58.88,0,147.73,0,0,#N/A,
Mike Riley,1,0,0,0,224.33,216.76,211.72,166.96,186.6,195.63,175.84,178.62,184.11,162.02,177.75,180.86,159.77,188.9,123.52,0,0,0,#N/A,
Mike Sanford,0,0,0,0,0,0,0,0,0,0,0,0,132.75,104.57,107.99,88.98,104.85,0,0,0,0,0,#N/A,
Mike Sanford Jr,0,0,0,154.77,138.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Mike Sewak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Mike Sherman,1,0,0,0,0,0,0,0,0,0,193.44,240.98,219.98,228.03,0,0,0,0,0,0,0,0,#N/A,
Mike Shula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.66,216.52,191.78,156.58,0,0,0,#N/A,
Mike Stoops,0,0,0,0,0,0,0,0,0,0,166.94,183.75,184.83,209.08,153.87,213.58,204.44,154.87,0,0,0,0,#N/A,
Neal Brown,0,199.77,191.83,136.65,123.9,127.73,107.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Virginia,
Neil Callaway,0,0,0,0,0,0,0,0,0,0,61.54,150.49,149.82,105.82,81.18,0,0,0,0,0,0,0,#N/A,
Nick Rolovich,0,179.28,129.53,138.46,133.96,111.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington State,
Nick Saban,1,310.44,317.5,289.94,323.87,302.04,311.1,319.71,319.5,313.12,298.5,284.2,288.63,291.61,241.78,0,0,287.64,282.27,210.17,206.53,54.01,Alabama,
No Team,0,0,0,0,0,158.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Norm Chow,0,0,0,0,0,0,98.16,108.34,139.5,124.09,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
P. J. Fleck,0,199.35,194.48,206.66,171.42,160.72,147.78,153.42,106.64,0,0,0,0,0,0,0,0,0,0,0,0,0,Minnesota,
Pat Fitzgerald,0,190.69,188.14,180.18,182.07,174.91,174.83,182.68,174.64,178.76,150.59,176.85,169.62,141.43,165.66,115.18,0,0,0,0,0,0,Northwestern,
Pat Hill,0,0,0,0,0,0,0,0,0,0,67.3,175.17,130.4,143.22,129.21,111.54,100.59,72.67,108,0,0,0,#N/A,
Pat Narduzzi,0,192.65,181.53,193.19,202.12,209.23,183.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pittsburgh,
Paul Chryst,0,225.54,219.51,195.04,193.87,202.85,189.85,187.66,196.04,198.81,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,
Paul Hackett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.99,#N/A,
Paul Haynes,0,0,0,0,94.88,82.77,119.93,86.65,95.27,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Paul Johnson,0,0,0,196.94,184.4,167.13,185.45,175.71,149.34,183.42,174.84,201.21,201.51,168.44,0,32.36,29.17,41.52,60.25,6.67,0,0,#N/A,
Paul Pasqualoni,0,0,0,0,0,0,0,0,160.61,143.96,117.6,0,0,0,0,0,0,118.35,128.96,0,29.2,55.14,#N/A,
Paul Rhoads,0,0,0,0,0,0,166.5,171.65,159.52,155.41,153.86,175.2,159.69,0,0,0,0,0,0,0,0,0,#N/A,
Paul Wulff,0,0,0,0,0,0,0,0,0,0,144.31,177.38,166.89,146.27,0,0,0,0,0,0,0,0,#N/A,
Pete Carroll,1,0,0,0,0,0,0,0,0,0,0,0,289.28,290.34,295.06,316.97,285.12,291.67,288.61,250.9,57.46,0,#N/A,
Pete Lembo,0,0,0,0,0,0,119.7,107.53,107.69,103.09,60.53,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Phil Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.93,64.64,122.19,98.61,134.26,84.52,0,0,#N/A,
Phil Fulmer,0,0,0,0,0,0,0,0,0,0,0,0,0,203.39,284.42,191.71,276.14,235.04,231.39,299.26,184.16,252.66,#N/A,
Philip Montgomery,0,138.25,133.88,137.25,135.07,128.52,116.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulsa,
Ralph Friedgen,0,0,0,0,0,0,0,0,0,0,0,205.67,211.59,186.96,196.41,202.78,206.08,204.06,179.95,176.61,0,0,#N/A,
Randy Edsall,0,134.27,127.68,125.87,121.64,0,182.31,190.98,193.11,204.96,162.97,151.1,142.56,124.74,152.51,91.46,114.29,87.28,87.69,66.92,0,0,Connecticut,
Randy Shannon,0,0,0,0,0,0,0,0,0,0,0,249.55,242.24,302.6,236.11,0,0,0,0,0,0,0,#N/A,
Randy Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.34,82.28,111.31,111.17,52.85,0,#N/A,
RC Slocum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.74,28.63,27.41,#N/A,
Rich Ellerson,0,0,0,0,0,0,0,0,74.07,45.41,77.89,99.95,68.46,0,0,0,0,0,0,0,0,0,#N/A,
Rich Rodriguez,0,0,0,0,185.88,180.42,186.57,213.29,188.91,199.26,0,237.54,262.72,261.55,210.32,142.51,172.44,157.73,129.6,141.52,0,0,#N/A,
Rick Brooks,0,0,0,0,0,0,0,0,0,0,0,0,193.54,153.99,24.42,139.71,0,0,22.68,0,0,0,#N/A,
Rick Minter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.93,87.58,0,0,#N/A,
Rick Neuheisel,0,0,0,0,0,0,0,0,0,0,172.23,263.81,258.45,250.33,0,0,0,0,0,218.86,84.23,27.47,#N/A,
Rick Stockstill,0,150.6,154.43,125.31,128.1,128.26,134.77,124.03,125.23,87.49,66.67,88.46,135.97,149.84,105.47,55.56,0,0,0,0,0,0,Middle Tennessee,
Rickey Bustle,0,0,0,0,0,0,0,0,0,0,0,86.44,77.11,82.66,83.02,76.72,94.87,77.34,90.56,60.25,0,0,#N/A,
Ricky Rahne,0,146.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Old Dominion,
Rip Scherer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Rob Ianello,0,0,0,0,0,0,0,0,0,0,50.3,136.89,0,0,0,0,0,0,0,0,0,0,#N/A,
Robbie Caldwell,0,0,0,0,0,0,0,0,0,0,0,188.39,0,0,0,0,0,0,0,0,0,0,#N/A,
Rocky Long,0,0,149.19,159.56,149.69,141.93,161.96,147.92,151.17,139.37,118.44,0,0,109.8,103.98,121.96,91.3,83.14,88.78,93.32,0,0,#N/A,
Rod Carey,0,145.3,136.56,141.69,122.74,111.4,138.94,109.52,108.89,0,0,0,0,0,0,0,0,0,0,0,0,0,Temple,
Ron Caragher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Ron English,0,0,0,0,0,0,0,0,98.58,96.95,53.69,110.9,102.1,0,0,0,0,0,0,0,0,0,#N/A,
Ron McBride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.74,0,0,#N/A,
Ron Prince,0,0,0,0,0,0,0,0,0,0,0,0,0,198.72,189.4,168.16,0,0,0,0,0,0,#N/A,
Ron Turner,0,0,0,0,0,119.8,120.42,100.66,98.08,0,0,0,0,0,0,0,0,122.38,180.52,155.41,26.83,0,#N/A,
Ron Vanderlinden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.47,#N/A,
Ron Zook,0,0,0,0,0,0,0,0,0,0,183.92,180.07,214.15,220.63,212.85,193.1,156.4,273.5,298.36,236.73,0,0,#N/A,
Ruffin McNeil,0,0,0,0,0,0,126.85,136.87,146.66,133.06,138.07,152.95,0,0,0,0,0,0,0,0,0,0,#N/A,
Ryan Day,0,295.08,261.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio State,
Ryan Silverfield,0,165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Memphis,
Sam Pittman,0,212.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,
Scot Loeffler,0,154.4,115.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowling Green,
Scott Frost,0,240.27,245.1,227.95,178.34,162.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,
Scott Satterfeld,0,194.46,165.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville,
Scott Satterfield,0,0,0,120.2,116.78,111.72,112.03,121.25,78.64,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Scott Shafer,0,0,0,0,0,0,172.06,176.87,144.37,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Scottie Montgomery,0,0,0,147.43,144.55,146.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Sean Kugler,0,0,0,0,85.51,99.39,73.03,89.53,88.53,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Sean Lewis,0,141.52,138.12,127.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kent State,
Seth Littrell,0,164.56,158.78,127.14,111.16,122.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Texas,
Shane Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,105.2,127.03,94.07,70.84,0,0,0,0,0,#N/A,
Shawn Clark,0,154.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Appalachian State,
Shawn Elliott,0,140.52,140.37,140.45,119.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia State,
Skip Holtz,0,162.08,155.46,162.18,121.72,128.91,142.32,119.17,124.51,181.93,143.19,182.46,124.38,119.53,118.48,115.08,47.3,0,0,0,0,0,Louisiana Tech,
Sonny Dykes,0,156.95,167.28,151.67,0,207.8,198.77,174.52,190.85,111.9,51.59,154.22,0,0,0,0,0,0,0,0,0,0,SMU,
Sonny Lubick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.4,112.11,94.42,122.11,103.13,104.1,26.31,0,#N/A,
Stan Brock,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,15.3,0,0,0,0,0,0,0,#N/A,
Stan Parrish,0,0,0,0,0,0,0,0,0,0,0,142.28,0,0,0,0,0,0,0,0,0,0,#N/A,
Steve Addazio,0,142.8,177.26,172.47,162.61,146.69,169.45,177.12,126.19,139.63,93.88,0,0,0,0,0,0,0,0,0,0,0,Colorado State,
Steve Campbell,0,140.54,122.8,120.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Alabama,
Steve Fairchild,0,0,0,0,0,0,0,0,0,0,122.79,172.59,125.17,114.44,0,0,0,0,0,0,0,0,#N/A,
Steve Kragthorpe,0,0,0,0,0,0,0,0,0,0,0,0,174.46,175.97,165.31,88.58,126.2,105.54,103.19,0,0,0,#N/A,
Steve Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.47,0,0,#N/A,
Steve Roberts,0,0,0,0,0,0,0,0,0,0,0,142.14,80.06,85.47,75.26,64.59,61.04,88.33,92.91,90.16,0,0,#N/A,
Steve Sarkisian,0,0,0,0,0,0,310.88,264.86,234.2,225.52,219.9,234.35,154.97,0,0,0,0,0,0,0,0,0,#N/A,
Steve Spurrier,1,0,0,0,0,0,230.49,239.33,224.01,248.77,244.09,210.39,257.08,198.87,273.85,182.76,210.9,0,0,0,26.18,239.17,#N/A,
Sylvester Croom,0,0,0,0,0,0,0,0,0,0,0,0,0,165.14,194.64,168.98,188.28,123.23,0,0,0,0,#N/A,
Ted Roof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.41,152.48,140.17,107.79,0,0,0,0,#N/A,
Ted Tollner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Terry Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Terry Bowden,0,0,0,108.81,88.91,82.29,82.38,97.33,97.64,70.1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Terry Hoeppner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.15,103.16,72.08,68.5,60.25,0,0,#N/A,
Terry Shea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Thomas Hammock,0,149.69,134.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northern Illinois,
Tim Beckman,0,0,0,0,0,0,0,153.35,176.35,162.09,132.9,149.24,131.44,0,0,0,0,0,0,0,0,0,#N/A,
Tim Brewster,0,0,0,0,0,0,0,0,0,0,0,186.47,209.2,214,165.41,0,0,0,0,0,0,0,#N/A,
Tim DeRuyter,0,0,0,0,0,137.22,155.02,124.42,142.76,89.62,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tim Lester,0,153.11,148.7,163.69,129.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Michigan,
Todd Berry,0,0,0,0,0,0,116.67,84.48,77.32,89.23,57.72,85.12,0,0,0,0,0,0,79.6,41.19,0,0,#N/A,
Todd Dodge,0,0,0,0,0,0,0,0,0,0,0,83.28,116.92,158.8,105.48,0,0,0,0,0,0,0,#N/A,
Todd Graham,0,124.35,0,0,206.68,217.62,232.73,223.19,192.78,205.33,150.28,172.19,174.21,137.2,120.23,89.39,0,0,0,0,0,0,Hawai'i,
Todd Monken,0,0,0,0,0,0,133.4,125.74,136.46,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tom Allen,0,177.39,202.63,190.77,167.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,
Tom Amstutz,0,0,0,0,0,0,0,0,0,0,0,0,0,128.48,117.6,109.58,70.41,94.07,82.91,29.44,0,0,#N/A,
Tom Arth,0,129.48,130.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Akron,
Tom Craft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.86,145.04,131.79,117.81,0,0,#N/A,
Tom Herman,0,270.93,287.69,300.06,217.76,201.5,131.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,
Tom Holmoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,0,#N/A,
Tom O'Brien,0,0,0,0,0,0,0,0,0,199.55,230.93,224.64,258.85,205.05,244.08,179.61,146.65,177.34,170.35,160.57,26.14,27.33,#N/A,
Tommy Bowden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.47,232.26,217.21,145.22,153.65,179.37,58,27.15,#N/A,
Tommy Tuberville,0,0,0,0,0,152.74,162.45,161.43,162.33,220.7,230.54,207.32,0,224.19,248.55,245.54,209.75,182.43,200.29,226.3,126.96,80.07,#N/A,
Tommy West,0,0,0,0,0,0,0,0,0,0,0,0,130.01,146.77,121.04,84.38,94.57,109.55,117.27,128.75,27.59,0,#N/A,
Tony Levine,0,0,0,0,0,0,0,144.26,171.4,176.32,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tony Samuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.58,76.7,19.8,0,0,#N/A,
Tony Sanchez,0,0,139.57,131.08,109.9,142.78,119.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Tracy Claeys,0,0,0,0,0,182.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Trent Miles,0,0,0,0,0,96.32,90.61,102.91,101.05,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Troy Calhoun,0,142.11,134.5,110.51,115.88,110.9,98.02,97.78,106.74,121.39,77.86,26.17,95.62,23.97,32.03,0,0,0,0,0,0,0,Air Force,
Turner Gill,0,0,0,80.33,40.17,35.65,38.13,7.63,0,22.63,178.77,177.9,90.58,65.34,61.45,96.91,0,0,0,0,0,0,#N/A,
Tyrone Willingham,0,0,0,0,0,0,0,0,0,0,0,0,0,225.25,184.72,183.52,114.56,168.32,239.52,235.46,84.71,85.01,#N/A,
Tyson Helton,0,157.37,153.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Kentucky,
Tyson Summers,0,0,0,0,118.78,149.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Urban Meyer,0,0,0,317.06,312.14,289.12,279.6,296.08,303.35,286.13,0,324.62,270.42,286.27,313.05,294.83,220.98,113.22,102.89,81.31,0,0,#N/A,
Vic Koenning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.82,0,0,#N/A,
Walt Bell,0,145.02,130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Umass,
Walt Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.17,200.1,154.42,147.62,181.22,27.03,26.02,#N/A,
Watson Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.39,110.09,88.92,84.94,91.7,0,0,#N/A,
Will Healy,0,152.55,112.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charlotte,
Will Muschamp,0,250.12,247.26,242.04,227.58,216.77,0,267.4,291.89,290.27,258.24,0,0,0,0,0,0,0,0,0,0,0,South Carolina,
Willie Fritz,0,165.84,144.82,173.75,114.66,127.78,137.18,111.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulane,
Willie Taggart,0,162.51,244.31,265.42,230.04,161.21,163.15,189.74,173.74,111.94,85.81,126.31,0,0,0,0,0,0,0,0,0,0,Florida Atlantic,
Woody Widenhofer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,26.39,#N/A,